year,name,n
1997,John S. Gero,0.001960784
1998,John S. Gero,0.001288106
1999,John S. Gero,0.001781896
2000,John S. Gero,0.003521514
2001,John S. Gero,0.002961208
2002,John S. Gero,0.002864871
2003,John S. Gero,0.002440875
2004,John S. Gero,0.019020161
2005,John S. Gero,0.029338768
2006,John S. Gero,0.028717964
2007,John S. Gero,0.024730433
2008,John S. Gero,0.026311608
2009,John S. Gero,0.03187697
2010,John S. Gero,0.036087975
2011,John S. Gero,0.037387659
2012,John S. Gero,0.034617436
2013,John S. Gero,0.031664661
2014,John S. Gero,0.02974352
2015,John S. Gero,0.027294751
2016,John S. Gero,0.026549027
2017,John S. Gero,0.025953076
2018,John S. Gero,0.024066448
2019,John S. Gero,0.020561053
2020,John S. Gero,0.018474519
2021,John S. Gero,0.029118932
2022,John S. Gero,0.028100488
2005,Marc Aurel Schnabel,3.01932E-05
2006,Marc Aurel Schnabel,2.14682E-05
2007,Marc Aurel Schnabel,6.69295E-05
2008,Marc Aurel Schnabel,0.000140389
2009,Marc Aurel Schnabel,0.002387209
2010,Marc Aurel Schnabel,0.004217263
2011,Marc Aurel Schnabel,0.013985031
2012,Marc Aurel Schnabel,0.014950319
2013,Marc Aurel Schnabel,0.015887463
2014,Marc Aurel Schnabel,0.015957287
2015,Marc Aurel Schnabel,0.015428571
2016,Marc Aurel Schnabel,0.030264468
2017,Marc Aurel Schnabel,0.029932648
2018,Marc Aurel Schnabel,0.029059499
2019,Marc Aurel Schnabel,0.02956103
2020,Marc Aurel Schnabel,0.032266816
2021,Marc Aurel Schnabel,0.120343197
2022,Marc Aurel Schnabel,0.114959206
1997,Tomohiro Fukuda,0.000280112
1998,Tomohiro Fukuda,0.000268356
1999,Tomohiro Fukuda,0.000148491
2000,Tomohiro Fukuda,0.000917847
2001,Tomohiro Fukuda,6.56916E-05
2002,Tomohiro Fukuda,3.16096E-05
2003,Tomohiro Fukuda,7.61399E-05
2004,Tomohiro Fukuda,0.000265816
2005,Tomohiro Fukuda,0.01249303
2006,Tomohiro Fukuda,0.014790361
2007,Tomohiro Fukuda,0.012602008
2008,Tomohiro Fukuda,0.01644453
2009,Tomohiro Fukuda,0.02466516
2010,Tomohiro Fukuda,0.037813639
2011,Tomohiro Fukuda,0.042585184
2012,Tomohiro Fukuda,0.044626969
2013,Tomohiro Fukuda,0.042634289
2014,Tomohiro Fukuda,0.041901434
2015,Tomohiro Fukuda,0.039418159
2016,Tomohiro Fukuda,0.042013011
2017,Tomohiro Fukuda,0.040110528
2018,Tomohiro Fukuda,0.038665528
2019,Tomohiro Fukuda,0.03649069
2020,Tomohiro Fukuda,0.035308625
2021,Tomohiro Fukuda,0.089164197
2022,Tomohiro Fukuda,0.095653139
1997,Teng-Wen Chang,0.000840336
1998,Teng-Wen Chang,0.000375698
1999,Teng-Wen Chang,0.000207888
2000,Teng-Wen Chang,0.000387786
2001,Teng-Wen Chang,0.000158636
2002,Teng-Wen Chang,0.000120036
2003,Teng-Wen Chang,0.000520427
2004,Teng-Wen Chang,0.00138497
2005,Teng-Wen Chang,0.002795894
2006,Teng-Wen Chang,0.002889615
2007,Teng-Wen Chang,0.002722972
2008,Teng-Wen Chang,0.002257686
2009,Teng-Wen Chang,0.00233621
2010,Teng-Wen Chang,0.016553437
2011,Teng-Wen Chang,0.016634523
2012,Teng-Wen Chang,0.018976596
2013,Teng-Wen Chang,0.016916581
2014,Teng-Wen Chang,0.014628041
2015,Teng-Wen Chang,0.014105906
2016,Teng-Wen Chang,0.01342677
2017,Teng-Wen Chang,0.012323686
2018,Teng-Wen Chang,0.010932833
2019,Teng-Wen Chang,0.009283252
2020,Teng-Wen Chang,0.009547007
2021,Teng-Wen Chang,0.010708756
2022,Teng-Wen Chang,0.010593562
2001,Patrick Janssen,5.28787E-06
2002,Patrick Janssen,0.00010003
2003,Patrick Janssen,8.52107E-05
2004,Patrick Janssen,6.95211E-05
2012,Patrick Janssen,0.003694907
2013,Patrick Janssen,0.007327728
2014,Patrick Janssen,0.008342904
2015,Patrick Janssen,0.006887842
2016,Patrick Janssen,0.007590419
2017,Patrick Janssen,0.006779712
2018,Patrick Janssen,0.00943096
2019,Patrick Janssen,0.009045101
2020,Patrick Janssen,0.017447018
2021,Patrick Janssen,0.021011513
2022,Patrick Janssen,0.022324717
2013,Matthias Hank Haeusler,4.06108E-06
2014,Matthias Hank Haeusler,6.48312E-06
2015,Matthias Hank Haeusler,3.5662E-05
2016,Matthias Hank Haeusler,9.46313E-05
2017,Matthias Hank Haeusler,0.015421729
2018,Matthias Hank Haeusler,0.017991227
2019,Matthias Hank Haeusler,0.019936932
2020,Matthias Hank Haeusler,0.019344397
2021,Matthias Hank Haeusler,0.022313997
2022,Matthias Hank Haeusler,0.05790098
2000,Mao-Lin Chiu,0.000256777
2001,Mao-Lin Chiu,0.013016368
