year,name,n
1996,John S. Gero,2
1997,John S. Gero,4
1998,John S. Gero,6
1999,John S. Gero,9
2000,John S. Gero,12
2001,John S. Gero,15
2002,John S. Gero,17
2003,John S. Gero,20
2004,John S. Gero,24
2005,John S. Gero,27
2006,John S. Gero,27
2007,John S. Gero,29
2008,John S. Gero,32
2009,John S. Gero,33
2010,John S. Gero,34
2011,John S. Gero,37
2012,John S. Gero,39
2013,John S. Gero,41
2014,John S. Gero,43
2015,John S. Gero,44
2016,John S. Gero,45
2017,John S. Gero,46
2018,John S. Gero,46
2019,John S. Gero,46
2020,John S. Gero,46
2021,John S. Gero,46
2022,John S. Gero,47
2003,Marc Aurel Schnabel,1
2004,Marc Aurel Schnabel,2
2005,Marc Aurel Schnabel,3
2006,Marc Aurel Schnabel,3
2007,Marc Aurel Schnabel,4
2008,Marc Aurel Schnabel,8
2009,Marc Aurel Schnabel,9
2010,Marc Aurel Schnabel,10
2011,Marc Aurel Schnabel,12
2012,Marc Aurel Schnabel,14
2013,Marc Aurel Schnabel,17
2014,Marc Aurel Schnabel,20
2015,Marc Aurel Schnabel,21
2016,Marc Aurel Schnabel,24
2017,Marc Aurel Schnabel,27
2018,Marc Aurel Schnabel,30
2019,Marc Aurel Schnabel,36
2020,Marc Aurel Schnabel,42
2021,Marc Aurel Schnabel,47
2022,Marc Aurel Schnabel,47
1996,Tomohiro Fukuda,1
1997,Tomohiro Fukuda,2
1998,Tomohiro Fukuda,3
1999,Tomohiro Fukuda,3
2000,Tomohiro Fukuda,4
2001,Tomohiro Fukuda,5
2002,Tomohiro Fukuda,6
2003,Tomohiro Fukuda,6
2004,Tomohiro Fukuda,6
2005,Tomohiro Fukuda,10
2006,Tomohiro Fukuda,13
2007,Tomohiro Fukuda,14
2008,Tomohiro Fukuda,17
2009,Tomohiro Fukuda,19
2010,Tomohiro Fukuda,20
2011,Tomohiro Fukuda,21
2012,Tomohiro Fukuda,23
2013,Tomohiro Fukuda,25
2014,Tomohiro Fukuda,27
2015,Tomohiro Fukuda,28
2016,Tomohiro Fukuda,31
2017,Tomohiro Fukuda,33
2018,Tomohiro Fukuda,35
2019,Tomohiro Fukuda,38
2020,Tomohiro Fukuda,40
2021,Tomohiro Fukuda,42
2022,Tomohiro Fukuda,46
1997,Teng-Wen Chang,4
1998,Teng-Wen Chang,4
1999,Teng-Wen Chang,4
2000,Teng-Wen Chang,5
2001,Teng-Wen Chang,6
2002,Teng-Wen Chang,6
2003,Teng-Wen Chang,8
2004,Teng-Wen Chang,10
2005,Teng-Wen Chang,16
2006,Teng-Wen Chang,20
2007,Teng-Wen Chang,22
2008,Teng-Wen Chang,22
2009,Teng-Wen Chang,24
2010,Teng-Wen Chang,26
2011,Teng-Wen Chang,27
2012,Teng-Wen Chang,29
2013,Teng-Wen Chang,29
2014,Teng-Wen Chang,30
2015,Teng-Wen Chang,31
2016,Teng-Wen Chang,33
2017,Teng-Wen Chang,34
2018,Teng-Wen Chang,34
2019,Teng-Wen Chang,35
2020,Teng-Wen Chang,37
2021,Teng-Wen Chang,39
2022,Teng-Wen Chang,40
2001,Patrick Janssen,1
2002,Patrick Janssen,1
2003,Patrick Janssen,1
2004,Patrick Janssen,1
2005,Patrick Janssen,2
2006,Patrick Janssen,2
2007,Patrick Janssen,2
2008,Patrick Janssen,2
2009,Patrick Janssen,2
2010,Patrick Janssen,2
2011,Patrick Janssen,2
2012,Patrick Janssen,4
2013,Patrick Janssen,11
2014,Patrick Janssen,15
2015,Patrick Janssen,18
2016,Patrick Janssen,19
2017,Patrick Janssen,20
2018,Patrick Janssen,22
2019,Patrick Janssen,26
2020,Patrick Janssen,31
2021,Patrick Janssen,33
2022,Patrick Janssen,36
2009,Matthias Hank Haeusler,1
2010,Matthias Hank Haeusler,2
2011,Matthias Hank Haeusler,3
2012,Matthias Hank Haeusler,3
2013,Matthias Hank Haeusler,4
2014,Matthias Hank Haeusler,6
2015,Matthias Hank Haeusler,8
2016,Matthias Hank Haeusler,10
2017,Matthias Hank Haeusler,15
2018,Matthias Hank Haeusler,20
2019,Matthias Hank Haeusler,28
2020,Matthias Hank Haeusler,31
2021,Matthias Hank Haeusler,32
2022,Matthias Hank Haeusler,36
1996,Mao-Lin Chiu,1
1997,Mao-Lin Chiu,2
1998,Mao-Lin Chiu,4
1999,Mao-Lin Chiu,5
2000,Mao-Lin Chiu,7
2001,Mao-Lin Chiu,11
2002,Mao-Lin Chiu,13
2003,Mao-Lin Chiu,14
2004,Mao-Lin Chiu,18
2005,Mao-Lin Chiu,21
2006,Mao-Lin Chiu,28
2007,Mao-Lin Chiu,30
2008,Mao-Lin Chiu,31
2009,Mao-Lin Chiu,32
